,1,2,3,4,5,6,7,8,9,10
88,32.3,43.3,68.9,38.6,86.6,45.3,105.9,153.9,66.8,45.5
89,244.4,363.6,981.6,883.7,1435.4,1604.5,501.2,429,229.4,317.8
90,0,0,0,0,0,0,0,0,0,0
91,0,0,0,0,0,0,0,0,0,0
92,11.9,9.2,23.1,5.6,21.6,26.7,17.9,17.8,0.7,0.5
93,7.9,6.6,9.4,7.2,54.4,10.9,5.2,19,17.3,46.8
94,0,0,0,0,0,0,0,0,0,0
95,129,182.3,244.7,367,485.3,554.4,268,337.5,294.9,327.9
96,2,4.3,14.1,13.9,15.8,16.4,28.6,26.4,22.7,22.6
97,1.4,9.9,11.1,24.3,9.3,7.6,2.3,12,18.7,22.7
98,102.5,102.5,258.2,225.5,229.5,430,127,153.7,132.8,190.4
99,99.5,135.6,222,92.7,146.6,272.2,140.8,54.4,68,55.9
100,53.2,42.5,172.3,109.6,88.2,160.4,154.3,154.7,138.2,148.6
101,47.2,24,99.5,32.5,189.9,263.8,31.5,39.3,82.9,81.3
102,0,0.1,1.5,1.8,6.5,16.5,0.1,0,0,2.7
103,0.7,5.3,0,4,2,62.2,0.9,4.1,17.1,0.3
104,20.5,12.7,19.7,22.8,24.1,57.1,96.2,178.5,109.9,241.1
105,112.1,102.6,142.6,152.7,141.9,174.1,295.2,627.5,616.6,808.5
106,13.5,20.8,37,29.1,22.1,30.4,48.1,67.3,64.2,92.5
107,8.3,1.9,5.8,24.3,35.3,24.7,1.2,13.1,32.3,27.7
108,0,0,0,0,0,0,0,0,0,0
109,1329.8,1409.3,2529.6,2190.6,2743.1,3115.5,1212,1509.2,1113.4,1133.7
110,502.7,604.9,1086.7,1155.6,1540.8,1927.7,725.7,806.7,820.4,537.7
111,86.3,88.3,127.1,132.5,132.8,106.8,224.9,371.5,548.2,481.6
112,35.7,58.2,57.7,109.7,91.4,152.2,154.2,222.7,175.5,171.1
113,0,0,0,0,0,0,3.5,2.1,1.8,0.7
114,0.6,0.4,2.3,0.1,2.3,1.9,0,0,0.4,1.5
115,0.1,0.1,0.1,0.2,0.3,0.2,0.3,0,0.4,0.6
116,120.4,173.6,340.5,350.8,323.7,651.9,290.8,303.9,555.3,546.8
117,16.7,20.4,35.1,46.5,35.3,43.5,20.3,50.6,71.3,69
118,62.1,65.8,95.3,80.9,119.1,133.6,50.5,52.2,101.8,5.9
119,143.8,168.2,297.8,321.2,257.3,374.5,86.3,117.2,130.8,111.8
120,0.3,7.8,1,19.5,25.4,4.2,33.8,42.8,19.3,43.4
121,89.3,78.9,154.8,122.5,109.1,118.2,78.7,113,97.7,128.2
122,9.1,16.6,16.4,24,16.7,13.6,32.3,83.5,6.3,11.1
123,3.3,2.9,8.5,16.7,14.5,16.3,23.9,43.5,61.2,44.4
124,7.4,0.3,10.8,3,2.4,2.7,0,0,0,0
125,119.5,150.5,150.1,250.5,389.1,325.9,134.6,313.5,139.5,293.6
126,0,0,0,0,12.3,0,25.3,36.9,40.3,28.3
127,0,0,0,0,0,0,0,0,0,0
128,289.3,331.9,532.9,585.7,641.9,727.7,349.3,567.6,415.8,598.3
129,36.6,88.4,100.1,200.7,123.6,227,132,360.4,150.7,82.9
130,88.2,90.3,118,108.6,228.9,298.8,213.7,307,249.2,306.2
131,131.4,87.5,202.9,301.6,322.6,401.1,36.8,171.2,40.5,28.4
132,39.4,73.3,88,98.3,60.4,81.1,139,143.9,111.9,134.8
133,0,0,0,0,0,0,0,0,0,0
134,0,0,0,0,0,0.4,0,0,0,0
135,0.2,0.3,0.4,0.5,0,0.4,1.6,2.2,0.9,11.7
136,0.1,0,0,0,0,0,0,0,0,0
137,0,3.4,3.1,0.1,0.4,0,0,0.4,0,0
138,0,0,0,0,0,0,0,0,0,0
139,0,0,0.1,0,0,0,0,0,0,0
140,123.8,176.6,275.6,366,281.2,390,197,285.4,150.9,265.4
141,222.8,294.9,535.5,523.6,559.6,675,290.8,399.6,315.9,421.4
142,1.5,1.7,5,0.5,10.7,14,1.8,0,0,0
143,499.5,573,801.9,846,1085.6,1522,748.3,1223.1,1149.9,1184.9
144,8.2,7.8,40.2,45.8,31.8,67,11.9,20.6,5.5,16.8
145,132.6,108.9,323.6,295.1,326.7,389.8,117.2,182,164.9,83.6
146,34.7,69.2,151.1,120.6,300.1,272.5,71.6,70.3,81.3,118.3
147,61.2,50.6,267.4,153,187.8,176.5,49.1,93.3,108.3,195
148,0,0,0,0,0,0,28,8.3,29.3,6.9
149,32.1,43.9,66.8,40.7,60.6,113.8,34.9,57.1,83.5,84.3
150,0.1,0,0,0,0.1,0.4,0.6,1.6,1.6,3.2
151,0.4,0.1,0.9,0,0,0.2,14.9,4.3,33,26.5
152,29.3,20.9,96.9,124.5,206.9,223,12.1,9.6,0.1,0.9
153,259,229.5,512.4,548.9,771.6,911.4,258.9,579.9,214,275.3
154,1532.5,1729.8,2349.4,2657.3,3202.8,4416.2,999.2,982.1,1034.5,1367.8
155,2.1,0.8,4.1,0,0.1,3.4,0,0.2,0,0.1
156,83.4,112,79.4,98.3,74.5,125.4,176.5,351.9,116.5,386.9
157,0.3,0,2.5,22.3,0.1,21.8,2.3,0.1,0,2.9
158,144.9,241,357.6,362.4,411.8,515.3,251.6,362.3,174.3,154.1
159,0,1,0,0,3.7,0.1,0.3,0,0,0
160,17.3,22.2,38.8,15.6,36.7,15.2,25.3,66.8,26,78.6
161,17.1,14.3,43.6,34.2,21.3,23.7,24.5,41.4,14.9,57.8
162,9.8,11.8,24.4,22.7,28.5,45,60,30.9,23.3,17.7
163,673.6,851.6,1533.4,1661.3,1650.6,2198.4,1160.7,1512.3,395.3,423
164,0.3,0.8,0.5,0.8,1.3,0.3,0.2,2.2,0.7,1
165,0,0,0,0.2,0.1,0.7,0,0,1.2,0
166,38.1,42.1,98.1,102.4,84.4,58.2,64.2,125.6,48.3,51.8
